gw,xi_pts,cap_id,cap_pts,bench_pts,chip,hits,transfers_in,gw_total,bank
1,53.0,584,1.0,0.0,,0,0,54.0,0.0
2,86.0,614,2.0,0.0,,0,0,88.0,0.0
3,51.0,449,10.0,0.0,,1,4,57.0,2.7
4,72.0,430,13.0,0.0,,0,1,85.0,0.3
5,52.0,365,1.0,0.0,,0,1,53.0,0.5
6,72.0,430,16.0,0.0,FH,0,1,88.0,-0.0
7,62.0,449,3.0,0.0,,1,2,61.0,1.4
8,65.0,430,13.0,0.0,WC,0,9,78.0,0.0
9,42.0,136,5.0,0.0,,0,1,47.0,1.0
10,76.0,430,13.0,0.0,,0,1,89.0,0.2
11,52.0,430,4.0,0.0,,0,0,56.0,0.2
12,57.0,21,6.0,0.0,,1,3,59.0,0.1
13,47.0,136,13.0,0.0,,0,1,60.0,0.8
14,65.0,430,14.0,0.0,,1,0,75.0,0.8
15,34.0,430,2.0,0.0,,0,2,36.0,1.8
16,42.0,430,13.0,0.0,,1,2,51.0,1.9
17,86.0,430,16.0,0.0,,0,0,102.0,1.9
18,49.0,136,5.0,7.0,BB,0,2,61.0,0.6
19,24.0,16,12.0,0.0,TC,0,1,36.0,0.5
20,54.0,16,4.0,0.0,,0,1,58.0,1.0
21,53.0,136,12.0,13.0,BB,1,2,74.0,3.7
22,38.0,249,8.0,0.0,,1,2,42.0,2.0
23,55.0,624,12.0,0.0,,1,2,63.0,0.8
24,40.0,21,3.0,0.0,,1,2,39.0,0.9
25,55.0,249,8.0,0.0,,1,2,59.0,2.8
26,69.0,21,14.0,0.0,FH,0,1,83.0,2.2
27,67.0,21,4.0,0.0,,0,1,71.0,1.0
28,54.0,136,6.0,0.0,,0,0,60.0,1.0
29,75.0,249,19.0,0.0,,0,0,94.0,1.0
30,71.0,136,6.0,0.0,WC,0,11,77.0,1.7
31,68.0,515,8.0,0.0,,0,1,76.0,2.0
32,83.0,624,14.0,0.0,,0,1,97.0,1.8
33,95.0,178,8.0,0.0,,0,1,103.0,2.4
34,64.0,449,5.0,0.0,,1,2,65.0,0.1
35,47.0,136,6.0,0.0,,0,1,53.0,0.5
36,88.0,417,5.0,0.0,,0,1,93.0,1.6
37,56.0,449,9.0,0.0,,0,0,65.0,1.6
38,61.0,449,28.0,0.0,TC,0,2,89.0,0.3
